Revised Product Name,Product category,Sub category,MRP,VAT,Maalgaadi Cost price,Maalgaadi Price,Customer Discount,Customer Discount %,Description
LOTTE CHOCO PIE 12'S 336 G,Confectionery,Biscuits,120,12.5,114.29,119,1,1%,"Buy LOTTE CHOCO PIE 12'S 336 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOTTE CHOCO PIE 6'S 168 G,Confectionery,Biscuits,60,12.5,57.14,59.5,0.5,1%,"Buy LOTTE CHOCO PIE 6'S 168 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOTTE COFFY BITE 475 GM,Confectionery,Biscuits,75,12.5,65.22,73,2,3%,"Buy LOTTE COFFY BITE 475 GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOTTE LACTOKING 307 G,Confectionery,Biscuits,50,12.5,41.67,48,2,4%,"Buy LOTTE LACTOKING 307 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALPENLIEBE 2 CHOCO ECLAIR Pouch 210G,Confectionery,Candy,50,12.5,43.48,48,2,4%,"Buy ALPENLIEBE 2 CHOCO ECLAIR Pouch 210G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALPENLIEBE CREAMFILLS POUCH 200,Confectionery,Candy,100,12.5,88,97,3,3%,"Buy ALPENLIEBE CREAMFILLS POUCH 200, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALPENLIEBE JAR 750GM,Confectionery,Candy,150,12.5,133,146,4,3%,"Buy ALPENLIEBE JAR 750GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALPENLIEBE JUST JELLY JAR 499.5G,Confectionery,Candy,135,5,120,132,3,2%,"Buy ALPENLIEBE JUST JELLY JAR 499.5G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
ALPENLIEBE RICH MILK CARAMEL 500G,Confectionery,Candy,100,12.5,88,97,3,3%,"Buy ALPENLIEBE RICH MILK CARAMEL 500G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CANDYMAN BUTTERSCOTCH LICKS 280G,Confectionery,Candy,50,12.5,43.48,48,2,4%,"Buy CANDYMAN BUTTERSCOTCH LICKS 280G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CANDYMAN CHOCO DOUBLE ECLAIRS BIRTHDAY 430G,Confectionery,Candy,100,12.5,86.95,97,3,3%,"Buy CANDYMAN CHOCO DOUBLE ECLAIRS BIRTHDAY 430G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CANDYMAN ECLAIRS 310 G,Confectionery,Candy,50,12.5,43.48,48,2,4%,"Buy CANDYMAN ECLAIRS 310 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CANDYMAN NATKHAT MANGO 340G,Confectionery,Candy,50,12.5,43.48,48,2,4%,"Buy CANDYMAN NATKHAT MANGO 340G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CANDYMAN TOFFICHOO STRAW 825G,Confectionery,Candy,125,12.5,108.7,121,4,3%,"Buy CANDYMAN TOFFICHOO STRAW 825G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
CENTER FRESH TUTTI FRUTI JAR 480 G,Confectionery,Candy,120,12.5,107,117,3,3%,"Buy CENTER FRESH TUTTI FRUTI JAR 480 G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA CANDY JAR 250'S,Confectionery,Candy,125,5,108.7,121,4,3%,"Buy HAJMOLA CANDY JAR 250'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA CANDY REFILL 250'S,Confectionery,Candy,125,5,106.8,121,4,3%,"Buy HAJMOLA CANDY REFILL 250'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA REGULAR 150 SACHETS JAR,Confectionery,Candy,150,5,130.43,145,5,3%,"Buy HAJMOLA REGULAR 150 SACHETS JAR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA REGULAR 20'S POUCH,Confectionery,Candy,20,5,17.39,19.5,0.5,3%,"Buy HAJMOLA REGULAR 20'S POUCH, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA TABLET IMLI 120'S,Confectionery,Candy,20,5,17.55,19.5,0.5,3%,"Buy HAJMOLA TABLET IMLI 120'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA TABLET IMLI 150 SACHET JAR,Confectionery,Candy,150,5,128.21,142,8,5%,"Buy HAJMOLA TABLET IMLI 150 SACHET JAR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
HAJMOLA TABLETS 120'S,Confectionery,Candy,22,5,18.96,21.5,0.5,2%,"Buy HAJMOLA TABLETS 120'S, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KINDER JOY 20G,Confectionery,Candy,30,12.5,25.75,29,1,3%,"Buy KINDER JOY 20G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
KINDER JOY T6 PACK 120G,Confectionery,Candy,180,12.5,154.53,175,5,3%,"Buy KINDER JOY T6 PACK 120G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LACTO KING LOLLIPOP CARAMEL 476G,Confectionery,Candy,100,12.5,86.95,97,3,3%,"Buy LACTO KING LOLLIPOP CARAMEL 476G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOVE CANDY JUMBO BLUe CURRENT 150GM,Confectionery,Candy,40,12.5,33,38,2,5%,"Buy LOVE CANDY JUMBO BLUe CURRENT 150GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOVE CANDY JUMBO MANGO 150GM,Confectionery,Candy,40,12.5,33,38,2,5%,"Buy LOVE CANDY JUMBO MANGO 150GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOVE CANDY JUMBO TUTTI FRUITY 150GM,Confectionery,Candy,40,12.5,33,38,2,5%,"Buy LOVE CANDY JUMBO TUTTI FRUITY 150GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
LOVE CANDY JUMBO WATER MELON 150GM,Confectionery,Candy,40,12.5,38.09,39.5,0.5,1%,"Buy LOVE CANDY JUMBO WATER MELON 150GM, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MANGO FILLZ 675G JAR,Confectionery,Candy,135,12.5,122,132,3,2%,"Buy MANGO FILLZ 675G JAR, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MANGO FILLZ POUCH 250G,Confectionery,Candy,50,12.5,43.48,48,2,4%,"Buy MANGO FILLZ POUCH 250G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MENTOS ORANGE 287.5G,Confectionery,Candy,57.5,12.5,50,55.5,2,3%,"Buy MENTOS ORANGE 287.5G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MENTOS STRAWBERRY 115 PCS 287.5G,Confectionery,Candy,57.5,12.5,50.87,55.5,2,3%,"Buy MENTOS STRAWBERRY 115 PCS 287.5G, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
MENTOS STRAWBERRY JAR 300 PCS,Confectionery,Candy,150,12.5,133,146,4,3%,"Buy MENTOS STRAWBERRY JAR 300 PCS, Groceries, Baby Products & Other Household items online from Maalgaadi.in, Mumbai's Online grocery store"
